公車到達時間,車站序號,車站名稱,車站編號,latitude,longitude
3分鐘,7,土銀訓練中心,2315200040,24.952342,121.55011
3分鐘,8,青潭(北宜路),2315201500,24.952626,121.5470007
4分鐘,9,青潭一,2315201460,24.95305,121.5428729
4分鐘,10,新店國小,2315203100,24.95347,121.5405279
5分鐘,11,文山國中,2315200800,24.955388,121.539103
5分鐘,12,碧潭,2315203300,24.956689,121.538524
6分鐘,13,捷運新店站(北新路),2314700800,24.958891,121.538126
3分鐘,17,七張(北新路),2314300000,24.971513,121.542921
5分鐘,18,捷運七張站,2314301100,24.9753,121.5430453
6分鐘,19,新店郵局,2314301700,24.978161,121.542795
8分鐘,20,大坪林,2314300100,24.981232,121.5418387
9分鐘,21,捷運大坪林站,2314301200,24.983344,121.5413983
3分鐘,24,財政園區,1167000000,24.995452,121.5413365
4分鐘,25,萬隆,1167000400,24.999316,121.5402001
6分鐘,26,捷運萬隆站,1167000300,25.001386,121.5392576
6分鐘,27,武功國小(羅斯福),1168100100,25.003273,121.5387822
7分鐘,28,師大分部,1168100200,25.006894,121.53901
10分鐘,29,公館,1067300020,25.012096,121.5385308
10分鐘,30,臺灣科技大學,1060700020,25.013453,121.5401488
11分鐘,31,臺大癌醫(基隆路),1067200720,25.015521,121.5425256
12分鐘,32,基隆長興街口,1067200320,25.017425,121.5448494
4分鐘,34,捷運六張犁站(基隆路),1067500200,25.023636,121.5519069
5分鐘,35,喬治商職,1105400100,25.02628,121.5549231
3分鐘,37,吳興街口,1105200000,25.031596,121.5588464
4分鐘,38,世貿中心(基隆路),1105100100,25.033677,121.5601565
5分鐘,39,市政府(松壽),1105100320,25.035836,121.5648932
7分鐘,40,市政府(松智),1105100200,25.03685,121.5655763
8分鐘,41,捷運市政府站,1107100121,25.041009,121.5668354
